DRINKING WATER,ISO3,Year,"Population 
(thousands)",% urban,RURAL,,,,,URBAN,,,,,TOTAL,,,,,RURAL,,,,,,,URBAN,,,,,,,TOTAL,,,,,,,,,,,
"COUNTRY, AREA OR TERRITORY",,,,,,,,,,,,,,,,,,,,"Proportion of population using 
improved water supplies",,,,,,,"Proportion of population using 
improved water supplies",,,,,,,"Proportion of population using 
improved water supplies",,,,,,,,,,,
Afghanistan,AFG,2009,   27 385,24,39,5,35,22,2.56,71,4,20,5,2.02,46,5,31,18,2.49,16,17,40,16,0.89,6,38,27,59,66,27,0.69,28,47,18,27,46,18,0.86,11,40,10,Central and Southern Asia,EMR,South Asia,South Asia
Afghanistan,AFG,2010,   28 190,24,41,5,33,21,2.56,73,4,18,5,2.02,49,5,29,17,2.49,17,18,42,17,0.89,7,40,28,61,68,28,0.69,29,48,19,28,48,19,0.86,12,42,11,Central and Southern Asia,EMR,South Asia,South Asia
Afghanistan,AFG,2011,   29 249,24,44,5,31,20,2.56,75,4,17,4,2.02,51,5,28,16,2.49,18,20,44,18,0.89,7,41,29,62,70,29,0.69,30,49,20,30,50,20,0.86,13,43,12,Central and Southern Asia,EMR,South Asia,South Asia
Afghanistan,AFG,2012,   30 466,24,47,5,30,19,2.56,78,4,15,4,2.02,54,4,26,15,2.49,18,21,47,18,0.89,8,43,30,64,72,30,0.69,31,50,21,31,53,21,0.86,14,45,13,Central and Southern Asia,EMR,South Asia,South Asia
Afghanistan,AFG,2013,   31 541,24,49,5,28,18,2.56,80,3,13,3,2.02,57,4,25,14,2.49,19,22,49,19,0.89,9,45,30,65,74,30,0.69,32,51,22,33,55,22,0.86,15,46,14,Central and Southern Asia,EMR,South Asia,South Asia
Afghanistan,AFG,2014,   32 716,25,52,4,27,17,2.56,82,3,12,3,2.02,60,4,23,13,2.49,20,24,51,20,0.89,10,47,31,67,76,31,0.69,33,52,23,34,57,23,0.86,16,48,15,Central and Southern Asia,EMR,South Asia,South Asia
Afghanistan,AFG,2015,   33 753,25,55,4,25,16,2.56,84,3,10,2,2.02,62,4,21,12,2.49,21,25,54,21,0.89,11,48,32,68,77,32,0.69,35,53,24,36,60,24,0.86,17,50,16,Central and Southern Asia,EMR,South Asia,South Asia
Afghanistan,AFG,2016,   34 636,25,58,4,24,15,2.56,87,3,9,2,2.02,65,4,20,11,2.49,22,27,56,22,0.89,12,50,33,69,79,33,0.69,36,54,25,38,62,25,0.86,18,51,17,Central and Southern Asia,EMR,South Asia,South Asia
Afghanistan,AFG,2017,   35 643,25,61,3,22,14,2.56,89,3,7,1,2.02,68,3,18,11,2.49,23,28,58,23,0.89,12,52,33,71,81,33,0.69,37,55,26,39,64,26,0.86,19,53,18,Central and Southern Asia,EMR,South Asia,South Asia
Afghanistan,AFG,2018,   36 687,25,64,3,21,13,2.56,91,2,5,<1,2.02,71,3,17,10,2.49,24,30,61,24,0.89,13,54,34,72,83,34,0.69,38,56,27,41,66,27,0.86,20,54,19,Central and Southern Asia,EMR,South Asia,South Asia
Afghanistan,AFG,2019,   37 769,26,67,3,19,12,2.56,94,2,4,<1,2.02,74,3,15,9,2.49,25,32,63,25,0.89,14,55,35,74,85,35,0.69,39,57,27,43,69,27,0.86,20,56,20,Central and Southern Asia,EMR,South Asia,South Asia
Afghanistan,AFG,2020,   38 972,26,70,2,17,10,2.56,96,2,2,<1,2.02,77,2,13,8,2.49,26,33,65,26,0.89,15,57,36,75,87,36,0.69,40,58,28,44,71,28,0.86,21,57,21,Central and Southern Asia,EMR,South Asia,South Asia
Afghanistan,AFG,2021,   40 099,26,73,2,16,9,2.56,99,1,<1,<1,2.02,80,2,12,7,2.49,27,35,68,27,0.89,16,59,36,77,88,36,0.69,41,59,29,46,73,29,0.86,22,59,22,Central and Southern Asia,EMR,South Asia,South Asia
Afghanistan,AFG,2022,   41 129,27,76,1,14,8,2.56,99,1,<1,<1,2.02,82,1,10,6,2.49,28,37,70,28,0.89,17,61,36,77,89,36,0.69,42,58,30,47,75,30,0.86,23,60,23,Central and Southern Asia,EMR,South Asia,South Asia
Albania,ALB,2000,    3 182,42,80,14,4,2,0.62,95,5,<1,<1,0.04,86,10,3,<1,0.40,-,58,53,-,-,64,30,-,92,43,-,-,98,1,49,72,49,94,0.98,78,18,24,Europe and Northern America,EUR,Europe and Central Asia,Europe and Central Asia
Albania,ALB,2001,    3 154,42,81,13,4,1,0.62,95,5,<1,<1,0.04,87,10,3,<1,0.40,-,58,53,-,-,65,30,-,92,43,-,-,97,2,49,73,49,94,0.98,79,18,25,Europe and Northern America,EUR,Europe and Central Asia,Europe and Central Asia
Albania,ALB,2002,    3 124,44,82,13,4,1,0.62,95,4,<1,<1,0.04,87,9,3,<1,0.40,-,59,53,-,-,65,29,-,92,43,-,-,97,3,49,73,49,94,0.98,79,18,26,Europe and Northern America,EUR,Europe and Central Asia,Europe and Central Asia
Albania,ALB,2003,    3 093,45,82,12,4,1,0.62,95,4,<1,<1,0.04,88,9,3,<1,0.40,-,59,53,-,-,66,29,-,92,43,-,-,96,3,49,74,49,94,0.98,79,17,27,Europe and Northern America,EUR,Europe and Central Asia,Europe and Central Asia
Albania,ALB,2004,    3 063,46,83,12,4,1,0.62,95,4,<1,<1,0.04,89,8,3,<1,0.40,-,60,55,-,-,67,28,-,91,46,-,-,95,4,51,74,51,94,0.98,80,17,28,Europe and Northern America,EUR,Europe and Central Asia,Europe and Central Asia
Albania,ALB,2005,    3 033,47,84,11,4,1,0.62,95,4,1,<1,0.04,89,8,3,<1,0.40,-,61,56,-,-,67,28,-,91,49,-,-,95,4,53,75,53,94,0.98,80,17,29,Europe and Northern America,EUR,Europe and Central Asia,Europe and Central Asia
Albania,ALB,2006,    3 003,48,84,11,4,<1,0.62,95,4,1,<1,0.04,90,7,3,<1,0.40,-,61,57,-,-,68,27,-,91,51,-,-,94,5,54,75,54,95,0.98,80,17,30,Europe and Northern America,EUR,Europe and Central Asia,Europe and Central Asia
Albania,ALB,2007,    2 976,49,85,10,4,<1,0.62,95,4,1,<1,0.04,90,7,3,<1,0.40,-,62,59,-,-,68,27,-,91,54,-,-,93,6,56,76,56,95,0.98,80,16,31,Europe and Northern America,EUR,Europe and Central Asia,Europe and Central Asia
Albania,ALB,2008,    2 952,50,86,9,4,<1,0.62,95,4,1,<1,0.04,90,6,3,<1,0.40,-,62,60,-,-,69,26,-,90,57,-,-,92,6,58,76,58,95,0.98,81,16,32,Europe and Northern America,EUR,Europe and Central Asia,Europe and Central Asia
Albania,ALB,2009,    2 931,51,87,9,4,<1,0.62,95,3,1,<1,0.04,91,6,3,<1,0.40,-,63,61,-,-,69,26,-,90,59,-,-,92,7,60,77,60,95,0.98,81,16,33,Europe and Northern America,EUR,Europe and Central Asia,Europe and Central Asia
Albania,ALB,2010,    2 913,52,87,8,4,<1,0.62,95,3,2,<1,0.04,91,6,3,<1,0.40,-,63,63,-,-,70,25,-,90,62,-,-,91,8,62,77,62,95,0.98,81,16,34,Europe and Northern America,EUR,Europe and Central Asia,Europe and Central Asia
Albania,ALB,2011,    2 901,53,88,8,4,<1,0.62,95,3,2,<1,0.04,92,5,3,<1,0.40,-,64,64,-,-,71,25,-,90,65,-,-,90,8,64,78,64,95,0.98,81,16,35,Europe and Northern America,EUR,Europe and Central Asia,Europe and Central Asia
Albania,ALB,2012,    2 892,54,89,7,4,<1,0.62,95,3,2,<1,0.04,92,5,3,<1,0.40,-,65,65,-,-,71,24,-,89,67,-,-,89,9,66,78,66,95,0.98,81,16,36,Europe and Northern America,EUR,Europe and Central Asia,Europe and Central Asia
Albania,ALB,2013,    2 887,55,89,6,4,<1,0.62,95,3,2,<1,0.04,93,4,3,<1,0.40,-,65,67,-,-,72,24,-,89,70,-,-,89,9,68,78,68,96,0.98,81,16,37,Europe and Northern America,EUR,Europe and Central Asia,Europe and Central Asia
Albania,ALB,2014,    2 884,56,90,6,4,<1,0.62,95,3,2,<1,0.04,93,4,3,<1,0.40,-,66,68,-,-,72,24,-,89,73,-,-,88,10,71,79,71,96,0.98,81,16,38,Europe and Northern America,EUR,Europe and Central Asia,Europe and Central Asia
Albania,ALB,2015,    2 882,57,91,5,4,<1,0.62,95,2,2,<1,0.04,93,4,3,<1,0.40,-,66,68,-,-,73,23,-,89,72,-,-,87,11,71,79,71,96,0.98,81,16,39,Europe and Northern America,EUR,Europe and Central Asia,Europe and Central Asia
Albania,ALB,2016,    2 881,58,91,5,4,<1,0.62,95,2,2,<1,0.04,94,3,3,<1,0.40,-,67,68,-,-,73,23,-,89,72,-,-,87,11,71,79,71,96,0.98,81,16,40,Europe and Northern America,EUR,Europe and Central Asia,Europe and Central Asia
Albania,ALB,2017,    2 879,59,92,4,4,<1,0.62,96,2,2,<1,0.04,94,3,3,<1,0.40,-,67,68,-,-,74,22,-,88,72,-,-,86,12,71,80,71,96,0.98,81,16,41,Europe and Northern America,EUR,Europe and Central Asia,Europe and Central Asia
Albania,ALB,2018,    2 877,60,93,3,4,<1,0.62,96,2,2,<1,0.04,94,3,3,<1,0.40,-,68,68,-,-,75,22,-,88,72,-,-,85,12,71,80,71,96,0.98,81,16,42,Europe and Northern America,EUR,Europe and Central Asia,Europe and Central Asia
Albania,ALB,2019,    2 874,61,93,3,4,<1,0.62,96,2,3,<1,0.04,95,2,3,<1,0.40,-,69,68,-,-,75,21,-,88,72,-,-,84,13,71,80,71,96,0.98,81,16,43,Europe and Northern America,EUR,Europe and Central Asia,Europe and Central Asia
Albania,ALB,2020,    2 867,62,94,2,4,<1,0.62,96,2,3,<1,0.04,95,2,3,<1,0.40,-,69,68,-,-,76,21,-,88,72,-,-,84,14,71,81,71,96,0.98,81,16,44,Europe and Northern America,EUR,Europe and Central Asia,Europe and Central Asia
Albania,ALB,2021,    2 855,63,94,2,4,<1,0.62,96,2,3,<1,0.04,95,2,3,<1,0.40,-,70,68,-,-,76,21,-,87,72,-,-,84,14,71,81,71,96,0.98,81,16,45,Europe and Northern America,EUR,Europe and Central Asia,Europe and Central Asia
Albania,ALB,2022,    2 842,64,94,2,4,<1,0.62,96,2,3,<1,0.04,95,2,3,<1,0.40,-,70,68,-,-,76,21,-,87,72,-,-,84,14,71,81,71,97,0.98,81,16,46,Europe and Northern America,EUR,Europe and Central Asia,Europe and Central Asia
Algeria,DZA,2000,   30 775,60,83,8,7,1,0.32,94,4,2,<1,0.09,90,6,4,<1,0.22,52,52,85,69,0.51,68,24,82,82,88,87,-0.41,90,7,70,70,87,80,0.02,81,14,47,Northern Africa and Western Asia,AFR,Middle East and North Africa,Middle East and North Africa
Algeria,DZA,2001,   31 201,61,84,8,7,<1,0.32,94,4,2,<1,0.09,90,6,4,<1,0.22,53,53,86,69,0.51,67,25,82,82,88,87,-0.41,90,8,71,71,87,80,0.02,81,15,48,Northern Africa and Western Asia,AFR,Middle East and North Africa,Middle East and North Africa
Algeria,DZA,2002,   31 625,62,84,8,7,<1,0.32,94,4,2,<1,0.09,90,5,4,<1,0.22,54,54,86,70,0.51,67,25,82,82,88,87,-0.41,89,9,71,71,87,80,0.02,81,15,49,Northern Africa and Western Asia,AFR,Middle East and North Africa,Middle East and North Africa
Algeria,DZA,2003,   32 056,62,84,8,6,<1,0.32,94,4,2,<1,0.09,91,5,3,<1,0.22,55,55,86,70,0.51,66,26,82,82,88,87,-0.41,88,10,72,72,87,81,0.02,80,16,50,Northern Africa and Western Asia,AFR,Middle East and North Africa,Middle East and North Africa
Algeria,DZA,2004,   32 510,63,85,8,6,<1,0.32,94,4,2,<1,0.09,91,5,3,<1,0.22,56,56,87,70,0.51,66,27,82,82,88,87,-0.41,88,11,72,72,88,81,0.02,80,17,51,Northern Africa and Western Asia,AFR,Middle East and North Africa,Middle East and North Africa
Algeria,DZA,2005,   32 957,64,85,8,6,<1,0.32,95,4,2,<1,0.09,91,5,3,<1,0.22,57,57,87,70,0.51,66,28,82,82,88,87,-0.41,87,11,73,73,88,81,0.02,79,17,52,Northern Africa and Western Asia,AFR,Middle East and North Africa,Middle East and North Africa
Algeria,DZA,2006,   33 435,65,85,8,5,<1,0.32,95,4,1,<1,0.09,91,5,3,<1,0.22,57,57,87,71,0.51,65,28,82,82,88,87,-0.41,86,12,73,73,88,82,0.02,79,18,53,Northern Africa and Western Asia,AFR,Middle East and North Africa,Middle East and North Africa
Algeria,DZA,2007,   33 984,65,86,8,5,<1,0.32,95,4,1,<1,0.09,92,5,3,<1,0.22,58,58,88,71,0.51,65,29,82,82,88,88,-0.41,85,13,74,74,88,82,0.02,78,19,54,Northern Africa and Western Asia,AFR,Middle East and North Africa,Middle East and North Africa
Algeria,DZA,2008,   34 570,66,86,8,5,<1,0.32,95,4,1,<1,0.09,92,5,3,<1,0.22,59,59,88,71,0.51,65,30,82,82,88,88,-0.41,85,14,74,74,88,82,0.02,78,19,55,Northern Africa and Western Asia,AFR,Middle East and North Africa,Middle East and North Africa
Algeria,DZA,2009,   35 196,67,86,9,4,<1,0.32,95,4,1,<1,0.09,92,5,2,<1,0.22,60,60,88,72,0.51,64,31,82,82,89,88,-0.41,84,15,75,75,88,82,0.02,77,20,56,Northern Africa and Western Asia,AFR,Middle East and North Africa,Middle East and North Africa
Algeria,DZA,2010,   35 856,68,87,9,4,<1,0.32,95,4,1,<1,0.09,92,5,2,<1,0.22,61,61,89,72,0.51,64,31,82,82,89,88,-0.41,83,15,75,75,89,83,0.02,77,21,57,Northern Africa and Western Asia,AFR,Middle East and North Africa,Middle East and North Africa
Algeria,DZA,2011,   36 544,68,87,9,4,<1,0.32,95,4,1,<1,0.09,93,5,2,<1,0.22,62,62,89,72,0.51,63,32,82,82,87,88,-0.41,83,16,75,75,88,83,0.02,76,21,58,Northern Africa and Western Asia,AFR,Middle East and North Africa,Middle East and North Africa
Algeria,DZA,2012,   37 261,69,87,9,4,<1,0.32,95,4,<1,<1,0.09,93,5,2,<1,0.22,63,63,87,72,0.51,63,33,82,82,86,88,-0.41,82,17,76,76,86,83,0.02,76,22,59,Northern Africa and Western Asia,AFR,Middle East and North Africa,Middle East and North Africa
Algeria,DZA,2013,   38 001,70,88,9,3,<1,0.32,95,4,<1,<1,0.09,93,5,2,<1,0.22,64,64,84,73,0.51,63,34,82,82,84,88,-0.41,81,18,76,76,84,83,0.02,76,23,60,Northern Africa and Western Asia,AFR,Middle East and North Africa,Middle East and North Africa
Algeria,DZA,2014,   38 760,70,88,9,3,<1,0.32,95,4,<1,<1,0.09,93,5,1,<1,0.22,65,65,82,73,0.51,62,34,82,82,83,88,-0.41,80,19,77,77,83,84,0.02,75,23,61,Northern Africa and Western Asia,AFR,Middle East and North Africa,Middle East and North Africa
Algeria,DZA,2015,   39 543,71,88,9,3,<1,0.32,95,4,<1,<1,0.09,93,5,1,<1,0.22,66,66,79,73,0.51,62,35,82,82,82,88,-0.41,80,19,77,77,81,84,0.02,75,24,62,Northern Africa and Western Asia,AFR,Middle East and North Africa,Middle East and North Africa
Algeria,DZA,2016,   40 339,71,89,9,2,<1,0.32,96,4,<1,<1,0.09,94,5,1,<1,0.22,67,67,76,73,0.51,61,36,80,81,80,88,-0.41,79,20,76,77,79,84,0.02,74,25,63,Northern Africa and Western Asia,AFR,Middle East and North Africa,Middle East and North Africa
Algeria,DZA,2017,   41 137,72,89,9,2,<1,0.32,96,4,<1,<1,0.09,94,5,<1,<1,0.22,68,68,74,74,0.51,61,37,79,81,79,88,-0.41,78,21,76,78,77,84,0.02,73,25,64,Northern Africa and Western Asia,AFR,Middle East and North Africa,Middle East and North Africa
Algeria,DZA,2018,   41 927,73,89,9,2,<1,0.32,96,4,<1,<1,0.09,94,5,<1,<1,0.22,69,69,71,74,0.51,61,37,77,81,77,88,-0.41,78,22,75,78,76,84,0.02,73,26,65,Northern Africa and Western Asia,AFR,Middle East and North Africa,Middle East and North Africa
Algeria,DZA,2019,   42 705,73,90,9,1,<1,0.32,96,4,<1,<1,0.09,94,5,<1,<1,0.22,69,70,69,74,0.51,60,38,76,81,76,88,-0.41,77,23,74,78,74,85,0.02,72,27,66,Northern Africa and Western Asia,AFR,Middle East and North Africa,Middle East and North Africa
Algeria,DZA,2020,   43 452,74,90,9,<1,<1,0.32,96,4,<1,<1,0.09,94,5,<1,<1,0.22,66,71,66,75,0.51,60,39,75,81,75,89,-0.41,76,24,72,79,72,85,0.02,72,28,67,Northern Africa and Western Asia,AFR,Middle East and North Africa,Middle East and North Africa
Algeria,DZA,2021,   44 178,74,90,9,<1,<1,0.32,96,4,<1,<1,0.09,95,5,<1,<1,0.22,63,72,63,75,0.51,60,40,73,81,73,89,-0.41,75,24,71,79,71,85,0.02,71,28,68,Northern Africa and Western Asia,AFR,Middle East and North Africa,Middle East and North Africa
Algeria,DZA,2022,   44 903,75,90,9,<1,<1,0.32,96,4,<1,<1,0.09,95,5,<1,<1,0.22,63,72,63,75,0.51,60,40,73,81,73,89,-0.41,75,24,71,79,71,85,0.02,71,28,69,Northern Africa and Western Asia,AFR,Middle East and North Africa,Middle East and North Africa
American Samoa,ASM,2000,       58,89,-,-,-,-,-,-,-,-,-,-,95,<1,5,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,81,81,86,94,-,94,1,70,Oceania,WPR,,
American Samoa,ASM,2001,       58,88,-,-,-,-,-,-,-,-,-,-,95,<1,5,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,82,82,86,94,-,94,1,71,Oceania,WPR,,
American Samoa,ASM,2002,       58,88,-,-,-,-,-,-,-,-,-,-,95,<1,5,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,83,83,86,94,-,94,1,72,Oceania,WPR,,
American Samoa,ASM,2003,       58,88,-,-,-,-,-,-,-,-,-,-,96,<1,4,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,84,84,87,95,-,95,1,73,Oceania,WPR,,
American Samoa,ASM,2004,       58,88,-,-,-,-,-,-,-,-,-,-,96,<1,4,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,85,85,87,95,-,95,1,74,Oceania,WPR,,
American Samoa,ASM,2005,       57,88,-,-,-,-,-,-,-,-,-,-,96,<1,4,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,86,86,87,95,-,95,<1,75,Oceania,WPR,,
American Samoa,ASM,2006,       57,88,-,-,-,-,-,-,-,-,-,-,96,<1,4,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,87,87,87,95,-,96,<1,76,Oceania,WPR,,
American Samoa,ASM,2007,       56,88,-,-,-,-,-,-,-,-,-,-,97,<1,3,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,88,88,88,96,-,96,<1,77,Oceania,WPR,,
American Samoa,ASM,2008,       56,88,-,-,-,-,-,-,-,-,-,-,97,<1,3,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,88,89,88,96,-,96,<1,78,Oceania,WPR,,
American Samoa,ASM,2009,       55,88,-,-,-,-,-,-,-,-,-,-,97,<1,3,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,88,90,88,96,-,97,<1,79,Oceania,WPR,,
American Samoa,ASM,2010,       55,88,-,-,-,-,-,-,-,-,-,-,97,<1,3,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,88,91,88,96,-,97,<1,80,Oceania,WPR,,
American Samoa,ASM,2011,       54,88,-,-,-,-,-,-,-,-,-,-,98,<1,2,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,88,92,88,97,-,97,<1,81,Oceania,WPR,,
American Samoa,ASM,2012,       54,87,-,-,-,-,-,-,-,-,-,-,98,<1,2,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,89,93,89,97,-,97,<1,82,Oceania,WPR,,
American Samoa,ASM,2013,       53,87,-,-,-,-,-,-,-,-,-,-,98,<1,2,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,89,94,89,97,-,98,<1,83,Oceania,WPR,,
American Samoa,ASM,2014,       52,87,-,-,-,-,-,-,-,-,-,-,98,<1,2,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,89,96,89,97,-,98,<1,84,Oceania,WPR,,
American Samoa,ASM,2015,       51,87,-,-,-,-,-,-,-,-,-,-,99,<1,1,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,89,97,89,98,-,98,<1,85,Oceania,WPR,,
American Samoa,ASM,2016,       50,87,-,-,-,-,-,-,-,-,-,-,99,<1,1,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,90,98,90,98,-,99,<1,86,Oceania,WPR,,
American Samoa,ASM,2017,       49,87,-,-,-,-,-,-,-,-,-,-,>99,<1,<1,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,90,99,90,98,-,>99,<1,87,Oceania,WPR,,
American Samoa,ASM,2018,       48,87,-,-,-,-,-,-,-,-,-,-,>99,<1,<1,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,90,99,90,98,-,>99,<1,88,Oceania,WPR,,
American Samoa,ASM,2019,       47,87,-,-,-,-,-,-,-,-,-,-,>99,<1,<1,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,90,99,90,98,-,>99,<1,89,Oceania,WPR,,
American Samoa,ASM,2020,       46,87,-,-,-,-,-,-,-,-,-,-,>99,<1,<1,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,90,99,90,98,-,>99,<1,90,Oceania,WPR,,
American Samoa,ASM,2021,       45,87,-,-,-,-,-,-,-,-,-,-,>99,<1,<1,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,90,99,90,98,-,>99,<1,91,Oceania,WPR,,
American Samoa,ASM,2022,       44,87,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,92,Oceania,WPR,,
Andorra,AND,2000,       66,92,>99,<1,<1,<1,0.00,>99,<1,<1,<1,0.00,>99,<1,<1,<1,0.00,-,>99,>99,-,-,>99,<1,-,>99,>99,-,-,>99,<1,91,>99,>99,91,0.00,>99,<1,93,Europe and Northern America,EUR,,Europe and Central Asia
Andorra,AND,2001,       68,92,>99,<1,<1,<1,0.00,>99,<1,<1,<1,0.00,>99,<1,<1,<1,0.00,-,>99,>99,-,-,>99,<1,-,>99,>99,-,-,>99,<1,91,>99,>99,91,0.00,>99,<1,94,Europe and Northern America,EUR,,Europe and Central Asia
Andorra,AND,2002,       71,92,>99,<1,<1,<1,0.00,>99,<1,<1,<1,0.00,>99,<1,<1,<1,0.00,-,>99,>99,-,-,>99,<1,-,>99,>99,-,-,>99,<1,91,>99,>99,91,0.00,>99,<1,95,Europe and Northern America,EUR,,Europe and Central Asia
Andorra,AND,2003,       74,91,>99,<1,<1,<1,0.00,>99,<1,<1,<1,0.00,>99,<1,<1,<1,0.00,-,>99,>99,-,-,>99,<1,-,>99,>99,-,-,>99,<1,91,>99,>99,91,0.00,>99,<1,96,Europe and Northern America,EUR,,Europe and Central Asia
Andorra,AND,2004,       77,91,>99,<1,<1,<1,0.00,>99,<1,<1,<1,0.00,>99,<1,<1,<1,0.00,-,>99,>99,-,-,>99,<1,-,>99,>99,-,-,>99,<1,91,>99,>99,91,0.00,>99,<1,97,Europe and Northern America,EUR,,Europe and Central Asia
Andorra,AND,2005,       80,90,>99,<1,<1,<1,0.00,>99,<1,<1,<1,0.00,>99,<1,<1,<1,0.00,-,>99,>99,-,-,>99,<1,-,>99,>99,-,-,>99,<1,91,>99,>99,91,0.00,>99,<1,98,Europe and Northern America,EUR,,Europe and Central Asia
Andorra,AND,2006,       80,90,>99,<1,<1,<1,0.00,>99,<1,<1,<1,0.00,>99,<1,<1,<1,0.00,-,>99,>99,-,-,>99,<1,-,>99,>99,-,-,>99,<1,91,>99,>99,91,0.00,>99,<1,99,Europe and Northern America,EUR,,Europe and Central Asia
Andorra,AND,2007,       78,89,>99,<1,<1,<1,0.00,>99,<1,<1,<1,0.00,>99,<1,<1,<1,0.00,-,>99,>99,-,-,>99,<1,-,>99,>99,-,-,>99,<1,91,>99,>99,91,0.00,>99,<1,100,Europe and Northern America,EUR,,Europe and Central Asia
